,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
chest,푸쉬업,체어딥스,다이아몬드푸쉬업,업앤다운푸쉬업,디클라인푸쉬업,인클라인푸쉬업,바이셉스푸쉬업,스파이더푸쉬업,버피푸쉬업,니드라이브푸쉬업,파이크푸쉬업,아쳐푸쉬업,플랫푸쉬업,다이브봄버푸시업,벤트오버덤벨레이즈
abdominal,플랭크,스탠딩 사이드 크런치,힐터치,하프레그레이즈,업다운 플랭크,마운틴 클라이머,사이드크런치,크런치,레그레이즈투힙업,러시안트위스트,트위스트크런치,사이드플랭크업,포크크런치,업앤다운푸쉬업,잭나이프 크런치
lower,하이니,점프스쿼트,백런지,와이드스쿼드,스포스쿼트,플랭크,업다운플랭크,크런치,사이드크런치,스플릿스쿼트,펄스와이드스쿼트,와이드 스쿼트 앤 카프레이즈,인앤아웃점프스쿼트,스쿼트 투 크로스 런지,원레그브릿지
,dumbel curl,lying leg raise,standing knee up,side lunge,side lateral raise,standing side crunch,twist crunch,plank,russian twist,decline pushup,mountain climber,leg bridge,babel squat,hindu push up,crunch 
